Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,4G,Latitud,Longitud
SANTA FE,Constitución,Empalme Villa Constitución,6241,SI,--,--,--,--,--,SI,SI,-332628625471248.0,-603804644639294.0
SANTA FE,Constitución,Firmat,28,--,--,--,--,--,--,--,--,-33441023527734.0,-61473143421839.0
SANTA FE,Constitución,General Gelly,610,SI,--,--,--,--,SI,--,SI,-336018434911159.0,-605989383522422.0
SANTA FE,Constitución,Godoy,1189,--,--,--,--,--,SI,SI,SI,-333697098731789.0,-605094130215383.0
SANTA FE,Constitución,Juan B. Molina,1265,SI,--,--,--,--,SI,SI,SI,-33496020689866.0,-605122133295946.0
SANTA FE,Constitución,Juncal,941,SI,--,--,SI,--,SI,SI,--,-3371761494002.0,-610500179215707.0
SANTA FE,Constitución,La Vanguardia,385,--,--,--,SI,--,--,SI,--,-333596257970974.0,-606584568664422.0
SANTA FE,Constitución,Máximo Paz (Est. Paz),3441,SI,SI,--,--,--,SI,SI,SI,-334851439474937.0,-609567885809825.0
SANTA FE,Constitución,Pavón,876,SI,--,--,--,--,--,SI,SI,-332430754805422.0,-604062757935089.0
SANTA FE,Constitución,Pavón Arriba,1834,--,--,--,SI,--,SI,SI,SI,-333134173933438.0,-608249758944661.0
SANTA FE,Constitución,Peyrano,2517,--,SI,--,--,--,--,SI,SI,-335411378598405.0,-60804329558703.0
SANTA FE,Constitución,Rueda,471,--,--,--,--,--,SI,SI,--,-33335855095367.0,-604608740548372.0
SANTA FE,Constitución,Santa Teresa,3039,SI,SI,--,SI,--,SI,SI,SI,-334385471621789.0,-607911542772276.0
SANTA FE,Constitución,Sargento Cabral,1007,--,--,--,SI,--,SI,SI,SI,-334330128597835.0,-606301906902003.0
SANTA FE,Constitución,Stephenson,54,--,--,--,--,--,--,--,SI,-334178567628002.0,-605572137324943.0
SANTA FE,Constitución,Theobald,421,--,--,--,--,--,--,SI,SI,-333122172562755.0,-603120513587534.0
SANTA FE,Constitución,Villa Constitución,47374,SI,SI,--,SI,--,SI,SI,SI,-332324133911798.0,-603324988273466.0
SANTA FE,Garay,Cayastá,3367,--,--,--,--,--,SI,SI,SI,-312023253009306.0,-601614504193394.0
SANTA FE,Garay,Helvecia,5756,--,SI,--,--,--,SI,SI,SI,-310992706781177.0,-600881512872483.0
SANTA FE,Garay,Los Zapallos,873,--,SI,--,--,--,--,SI,SI,-314956365531425.0,-604286467714748.0
SANTA FE,Garay,Saladero Mariano Cabal,588,--,--,--,--,SI,SI,SI,SI,-309229849971234.0,-600481154588667.0
SANTA FE,Garay,Santa Rosa de Calchines,3435,SI,SI,--,--,--,--,SI,SI,-31422365592266.0,-603348940800468.0
SANTA FE,General López,Aarón Castellanos (Est. Castellanos),236,--,--,--,--,--,SI,SI,SI,-343345323396045.0,-623748007656351.0
SANTA FE,General López,Amenábar,1605,SI,--,--,--,--,SI,SI,SI,-34136118440775.0,-624229084851079.0
SANTA FE,General López,Cafferata,1449,SI,--,--,SI,--,--,--,SI,-334414158758935.0,-620868714692657.0
SAN JUAN,Jáchal,San José de Jáchal,10940,--,--,SI,SI,SI,SI,SI,SI,-302427672850044.0,-687454934559357.0
SAN JUAN,Jáchal,Tamberías,622,--,--,--,--,--,SI,SI,--,-301822864487075.0,-687277857836372.0
SAN JUAN,Jáchal,Villa Malvinas Argentinas,340,--,--,--,--,--,SI,--,--,-302142413595614.0,-687165558327867.0
SAN JUAN,Jáchal,Villa Mercedes,1439,--,--,--,--,SI,SI,SI,SI,-301088721898605.0,-687009429184891.0
SAN JUAN,Pocito,Barrio Municipal,973,--,--,--,--,--,--,--,--,-317523486776689.0,-685597213740804.0
SAN JUAN,Pocito,Barrio Ruta 40,231,--,--,--,--,--,SI,--,SI,-318595308229437.0,-685345166485174.0
SAN JUAN,Pocito,Carpintería,1134,--,--,--,--,--,SI,SI,SI,-318301409850684.0,-685420989256398.0
SAN JUAN,Pocito,La Rinconada,0,--,--,--,--,--,--,--,SI,-316952378674877.0,-685923025771378.0
SAN JUAN,Pocito,Las Piedritas,588,--,--,--,--,--,--,--,--,-31629474322189.0,-686080765638159.0
SAN JUAN,Pocito,Quinto Cuartel,1661,--,--,--,--,--,SI,SI,SI,-316140359426027.0,-686001745092873.0
SAN JUAN,Pocito,Villa Aberastain,0,--,--,--,--,--,SI,--,SI,-3165701277213.0,-68573608949336.0
SAN JUAN,Pocito,Villa Aberastain - La Rinconada,15409,SI,--,SI,--,SI,SI,SI,--,-316952378674877.0,-685923025771378.0
SAN JUAN,Pocito,Villa Barbosa - Villa Nacusi,24240,--,--,--,--,--,SI,--,SI,-316219383886537.0,-685359580395485.0
SAN JUAN,Pocito,Villa Barboza,0,--,--,--,--,--,--,--,SI,-315921799746836.0,-685723924425069.0
SAN JUAN,Pocito,Villa Centenario,778,--,--,--,--,--,SI,--,SI,-31668402703149.0,-685222919302359.0
SAN JUAN,Pocito,Villa Nacusi,0,--,--,--,--,--,--,--,--,-316219383886537.0,-685359580395485.0
SAN JUAN,Rawson,El Medanito,0,--,--,--,--,--,SI,--,--,-31583482529045.0,-684697872532749.0
SANTA FE,General López,Cañada del Ucle,698,SI,--,--,--,--,SI,SI,--,-334103440716357.0,-616070433975613.0
SANTA FE,General López,Carmen,1611,--,--,--,--,--,SI,SI,SI,-337327788629688.0,-617609271479419.0
SANTA FE,General López,Carreras,1906,--,SI,--,--,--,SI,SI,SI,-335982834566103.0,-613117684362059.0
SANTA FE,General López,Chapuy,571,--,SI,--,--,--,--,SI,SI,-338005299368969.0,-617440181936851.0
SANTA FE,General López,Chovet,2101,--,SI,--,--,SI,--,SI,SI,-336007825133126.0,-616046646604986.0
SANTA FE,General López,Christophersen,499,--,--,--,SI,--,SI,SI,SI,-341846191181657.0,-620235323680591.0
SANTA FE,General López,Diego de Alvear,1855,SI,--,--,SI,--,SI,SI,SI,-343743429234538.0,-621289273623308.0
SANTA FE,General López,Elortondo,5632,SI,--,--,--,--,--,SI,SI,-337016560168056.0,-616163727056605.0
SANTA FE,General López,Firmat,19757,SI,SI,--,SI,--,--,SI,SI,-334580496833225.0,-614914525089409.0
SANTA FE,General López,Hughes,4598,--,--,--,SI,--,--,SI,SI,-338028556653324.0,-613358033222625.0
SANTA FE,General López,La Chispa,352,--,--,--,--,--,SI,SI,--,-335446704008322.0,-619736324283312.0
SANTA FE,General López,Labordeboy,928,SI,--,--,--,--,--,SI,SI,-337196527453715.0,-613149208168028.0
SALTA,La Candelaria,El Tala,2632,--,--,--,SI,SI,SI,SI,SI,-261208917578309.0,-652873058787689.0
SALTA,La Candelaria,La Candelaria,649,--,--,--,SI,--,--,SI,SI,-260961790089843.0,-650610119525095.0
SALTA,La Poma,Cobres,143,--,--,--,--,--,--,--,--,-236391998500842.0,-662684039729566.0
SALTA,La Poma,La Poma,614,--,--,--,SI,--,SI,--,--,-247129010493055.0,-661997385176463.0
SALTA,La Viña,Ampascachi,118,--,--,--,--,--,SI,--,--,-25355455514438.0,-655323044668329.0
SALTA,La Viña,Cabra Corral,27,--,--,--,--,--,SI,--,SI,-25290036707535.0,-6538778537012.0
SALTA,La Viña,Coronel Moldes,4116,SI,--,--,--,SI,SI,SI,SI,-252889404681421.0,-654745373510335.0
SALTA,La Viña,La Viña,1825,--,--,--,SI,SI,SI,SI,SI,-254719724619835.0,-655719838890076.0
SALTA,La Viña,Talapampa,341,--,--,--,--,--,SI,--,--,-255463746287562.0,-65559672881754.0
SALTA,Los Andes,Olacapato,218,--,--,--,SI,SI,SI,--,--,-241197745515994.0,-667142594000385.0
SALTA,Los Andes,San Antonio de los Cobres,4763,--,--,--,SI,SI,SI,SI,SI,-242099310029638.0,-66315435998094.0
SALTA,Los Andes,Santa Rosa de los Pastos Grandes,168,--,--,--,SI,--,SI,--,--,-24478105777316.0,-666785400667592.0
SALTA,Los Andes,Tolar Grande,230,--,--,--,SI,SI,SI,--,SI,-245579851944765.0,-674369653675359.0
SALTA,Metán,El Galpón,5675,SI,--,--,SI,SI,--,SI,SI,-253915864503967.0,-646595062933993.0
SALTA,Metán,El Tunal,0,--,--,--,SI,SI,--,--,SI,-252652645771513.0,-644061042227155.0
SALTA,Metán,Lumbreras,297,--,--,--,SI,--,--,--,--,-252172575790264.0,-649306861458005.0
SALTA,Grl. José de San Martín,Padre Lozano,513,--,--,--,--,--,--,--,SI,-23215724803759.0,-638426467906727.0
SALTA,Grl. José de San Martín,Piquirenda,505,--,--,--,SI,--,--,--,--,-223335490812005.0,-637596847135861.0
SALTA,Grl. José de San Martín,Profesor Salvador Mazza,18899,SI,--,--,SI,SI,--,SI,SI,-220542634419099.0,-636872829649674.0
SALTA,Grl. José de San Martín,Recaredo,108,--,--,--,--,--,--,--,--,-224497652091167.0,-638856192155364.0
SALTA,Grl. José de San Martín,Tartagal,63196,SI,SI,--,SI,SI,SI,SI,SI,-225098645099451.0,-637970472996098.0
SALTA,Grl. José de San Martín,Tobantirenda,849,--,--,--,SI,--,--,--,--,-2213833247169.0,-637061819675909.0
SALTA,Grl. José de San Martín,Tranquitas,1052,--,--,--,--,--,--,--,--,-224076174158757.0,-637681399387898.0
SALTA,Grl. José de San Martín,Yacuy,1686,--,--,--,SI,--,--,--,SI,-223765769868638.0,-637654304903786.0
SALTA,Guachipas,Guachipas,2073,--,--,--,SI,SI,SI,SI,SI,-255235484724461.0,-655187644501144.0
SALTA,Iruya,Iruya,1523,--,--,--,SI,--,SI,--,--,-227789158765788.0,-652063598136374.0
SALTA,Iruya,Isla de Cañas,1295,--,--,--,--,--,SI,--,SI,-228864200252899.0,-646573757192202.0
SALTA,Iruya,Pueblo Viejo,155,--,--,--,SI,--,--,--,--,-228263430234688.0,-652018356755618.0
SALTA,La Caldera,La Caldera,2186,--,--,--,SI,SI,SI,SI,SI,-246049486234217.0,-653823377302988.0
SALTA,La Caldera,Vaqueros,4575,SI,--,--,SI,--,SI,SI,SI,-246945211920197.0,-654026944187147.0
SALTA,La Candelaria,El Jardín,1221,--,--,--,SI,SI,--,SI,SI,-260938834199791.0,-6541384156239.0
SALTA,Metán,Metán Viejo,377,--,--,--,SI,SI,--,--,SI,-255418039517985.0,-649849385087879.0
SALTA,Metán,Presa El Tunal,518,--,--,--,--,--,--,--,--,-252652645771512.0,-644061042227154.0
SALTA,Metán,Río Piedras,1420,SI,--,--,SI,SI,--,SI,SI,-253211818761179.0,-64917329424853.0
SALTA,Metán,San José de Metán,28295,SI,SI,--,SI,SI,--,SI,SI,-255077205377148.0,-649821245409304.0
SALTA,Metán,San José de Orquera,155,--,--,--,SI,--,--,--,--,-252783094165373.0,-640850561648465.0
SALTA,Molinos,La Puerta,386,--,--,--,--,--,--,--,--,-252804538149509.0,-664508396566503.0
SALTA,Molinos,Molinos,1183,SI,--,--,SI,--,SI,SI,SI,-254442432937572.0,-663088500894253.0
SALTA,Molinos,Seclantás,560,--,--,--,SI,SI,SI,SI,SI,-253305099574445.0,-662484466228606.0
SALTA,Orán,Aguas Blancas,2395,--,--,--,--,SI,SI,SI,SI,-227245611902241.0,-64346319220401.0
SALTA,Orán,Colonia Santa Rosa,15562,--,SI,--,--,SI,SI,SI,SI,-233885957203176.0,-644234333229489.0
SALTA,Orán,El Tabacal,1143,--,SI,--,SI,--,--,SI,SI,-232500270361093.0,-642445058938392.0
SALTA,Orán,Hipólito Yrigoyen,10196,SI,SI,--,SI,SI,SI,SI,SI,-232382702479068.0,-642718125360107.0
SALTA,Orán,La Misión,0,--,--,--,--,--,--,--,--,-233154629033465.0,-644077092056574.0
SALTA,Orán,Pichanal,22439,SI,SI,--,SI,SI,--,SI,SI,-233133896525098.0,-64219751841333.0
SANTA FE,General López,Maggiolo,1701,SI,--,--,--,--,SI,SI,SI,-337244236308417.0,-622478391856324.0
SANTA FE,General López,María Teresa,3523,SI,SI,--,--,--,SI,SI,SI,-340062849828557.0,-61900439675435.0
SANTA FE,General López,Melincué (Est. San Urbano),2139,--,--,--,--,--,SI,SI,SI,-336619144262235.0,-614576887408087.0
SANTA FE,General López,Miguel Torres,373,--,SI,--,--,--,--,--,--,-335299502620402.0,-614662068731284.0
SANTA FE,General López,Murphy,3630,--,--,--,SI,--,--,SI,SI,-336428623685969.0,-618577974691015.0
SANTA FE,General López,Rufino,18727,SI,SI,--,SI,--,--,SI,SI,-342636098414032.0,-627117038844931.0
SANTA FE,General López,San Eduardo,928,SI,--,--,SI,--,--,SI,SI,-338723970130663.0,-620917158307714.0
SANTA FE,General López,San Francisco de Santa Fe,279,--,--,--,SI,SI,--,SI,SI,-335905400040189.0,-621244693933144.0
SANTA FE,General López,San Gregorio,4291,SI,--,--,SI,--,SI,SI,SI,-343265186547551.0,-620379529693876.0
SANTA FE,General López,Sancti Spiritu,3433,SI,--,--,SI,SI,SI,SI,SI,-340095285599362.0,-622424503438155.0
SAN JUAN,Sarmiento,Cienaguita,438,--,--,--,SI,--,SI,--,--,-320763381339971.0,-68690762577729.0
SAN JUAN,Sarmiento,Colonia Fiscal,607,--,--,--,--,--,--,--,--,-319027437264496.0,-684696588673219.0
SAN JUAN,Sarmiento,Divisadero,413,--,--,--,--,--,SI,SI,SI,-320104984358581.0,-686904861018003.0
SAN JUAN,Sarmiento,Guanacache,200,--,--,--,--,--,SI,SI,SI,-320753813271385.0,-685856950572685.0
SAN JUAN,Sarmiento,Las Lagunas,298,--,--,--,--,SI,--,--,SI,-320443775419211.0,-683778990229646.0
SAN JUAN,Sarmiento,Los Berros,3783,--,--,--,SI,--,SI,SI,SI,-319514576383242.0,-686510941298035.0
SAN JUAN,Sarmiento,Pedernal,537,--,--,--,--,--,SI,--,SI,-319950077029707.0,-687590874861116.0
SAN JUAN,Sarmiento,Punta del Médano,576,--,--,--,--,--,SI,SI,SI,-318946043291143.0,-684183104905607.0
SAN JUAN,Sarmiento,Villa Media Agua,7983,--,--,--,SI,--,SI,SI,SI,-319810022624945.0,-684270029177237.0
SAN JUAN,Ullum,Villa Ibáñez,4421,--,--,SI,--,--,SI,SI,SI,-314659385111811.0,-687353338028121.0
SAN JUAN,Valle Fértil,Astica,740,--,--,--,--,--,SI,SI,SI,-309538850864023.0,-673006351406982.0
SAN JUAN,Valle Fértil,Balde del Rosario,93,--,--,--,--,--,--,SI,--,-303207151787316.0,-676951969177397.0
SAN JUAN,Valle Fértil,Chucuma,123,--,--,--,--,--,--,--,--,-310688861561951.0,-672788289085567.0
SAN JUAN,Valle Fértil,Los Baldecitos,53,--,--,--,--,--,--,SI,SI,-302241888429483.0,-677014210305429.0
SAN JUAN,Valle Fértil,Usno,339,--,--,--,--,--,--,--,--,-305640053498102.0,-67540327100629.0
SAN JUAN,Valle Fértil,Villa San Agustín,4423,--,--,--,SI,SI,SI,SI,SI,-306367084796207.0,-674650598603898.0
SAN JUAN,Zonda,Villa Basilio Nievas,4539,--,--,--,--,--,SI,SI,SI,-31543878931951.0,-687407758815646.0
SAN LUIS,Ayacucho,Balde De Los Torres,0,--,--,--,--,--,--,--,--,-320273284154145.0,-661023162055029.0
SAN LUIS,Ayacucho,Balde Del Carmen,0,--,--,--,--,--,--,--,--,-3227812976.0,-6616172942.0
SAN LUIS,Ayacucho,Balde Retamo,0,--,--,--,--,--,--,--,--,-321071837607464.0,-659591283364498.0
SAN LUIS,Ayacucho,Baldecito De La Pampa,0,--,--,--,--,--,--,--,--,-3234825343.0,-6620247477.0
SAN LUIS,Ayacucho,Candelaria,2729,--,--,--,--,--,SI,SI,SI,-320607491134468.0,-658276913716033.0
SAN LUIS,Ayacucho,Carpinteria,0,--,--,--,--,--,--,--,--,-3255476157.0,-6609236842.0
SAN LUIS,Ayacucho,El Calden,0,--,--,--,--,--,--,--,--,-319013529041554.0,-658545481796961.0
SAN LUIS,Ayacucho,El Injerto,0,--,--,--,--,--,--,--,--,-3222815945.0,-6569191327.0
SAN LUIS,Ayacucho,El Rincon,0,--,--,--,--,--,--,--,--,-326556521.0,-6620161387.0
SAN LUIS,Ayacucho,El Vinagrillo,0,--,--,--,--,--,--,--,--,-324018573.0,-6602362281.0
SAN LUIS,Ayacucho,El Zapallar,0,--,--,--,--,--,--,--,--,-3228351144.0,-6580227972.0
SAN LUIS,Ayacucho,La Aguada,0,--,--,--,--,--,--,--,--,-3228028097.0,-6583553852.0
SAN LUIS,Ayacucho,La Avenencia,0,--,--,--,--,--,--,--,--,-3224501781.0,-6641237917.0
SAN LUIS,Ayacucho,La Botija,0,--,--,--,--,--,--,--,--,-3223779512.0,-6657895642.0
SAN LUIS,Ayacucho,La Brea,0,--,--,--,--,--,--,--,--,-32218073280756.0,-658748842663651.0
SAN LUIS,Ayacucho,La Majada,0,--,--,--,--,--,SI,--,--,-325298829031211.0,-660429032510053.0
SAN LUIS,Ayacucho,La Represita,0,--,--,--,--,--,--,--,--,-321611532404767.0,-656840749663906.0
SAN LUIS,Ayacucho,La Salvadora,0,--,--,--,--,--,--,--,--,-3228620178.0,-66732734.0
SAN LUIS,Ayacucho,Las Chacras,0,--,--,--,--,--,--,--,--,-3263547762.0,-6614025792.0
SAN LUIS,Ayacucho,Las Chimbas,0,--,--,--,--,--,--,--,--,-321565177184576.0,-665511142613289.0
SAN LUIS,Ayacucho,Las Lagunitas,0,--,--,--,--,--,--,--,--,-3202753784.0,-6624032971.0
SAN LUIS,Ayacucho,Leandro N. Alem,379,--,--,--,--,--,SI,--,--,-321047821044922.0,-659621124267578.0
SAN LUIS,Ayacucho,Lomas Blancas,0,--,--,--,--,--,SI,--,--,-323338629051211.0,-664716765323555.0
SAN LUIS,Ayacucho,Los Quemados,0,--,--,--,--,--,--,--,--,-318916077583343.0,-65731320177862.0
SAN LUIS,Ayacucho,Luján,2016,--,--,--,--,--,SI,SI,--,-323660349058479.0,-659425439975458.0
SAN LUIS,Ayacucho,Pampa Grande,0,--,--,--,SI,--,--,--,--,-323724224723278.0,-663077548668586.0
SAN LUIS,Ayacucho,Pozo Del Molle,0,--,--,--,--,--,--,--,--,-3253991654.0,-661496998.0
SAN LUIS,Ayacucho,Quines,7459,--,--,--,--,SI,SI,--,SI,-322330822365033.0,-658056329969317.0
SAN LUIS,Ayacucho,Río Juan Gómez,0,--,--,--,--,--,SI,--,--,-32603889.0,-66086944.0
SAN LUIS,Ayacucho,Rodeo De Cadenas,0,--,--,--,--,--,--,--,--,-327015629614775.0,-661900873349156.0
SAN LUIS,Belgrano,Villa de la Quebrada,523,--,--,--,SI,--,SI,--,--,-330161741932684.0,-662920464806382.0
SAN LUIS,Belgrano,Villa General Roca,162,--,--,--,SI,--,SI,--,--,-326661925630759.0,-664524010178082.0
SAN LUIS,Chacabuco,Balcarce,0,--,--,--,--,--,--,--,--,-325633976217563.0,-650315307446834.0
SAN LUIS,Chacabuco,Colonia Zubelzu,0,--,--,--,--,--,--,--,--,-3301855146.0,-6513148933.0
SAN LUIS,Chacabuco,Concarán,5119,--,--,--,--,SI,SI,--,SI,-325607275180287.0,-652452806076649.0
SAN LUIS,Chacabuco,Cortaderas,822,--,--,--,SI,--,SI,SI,SI,-325076504245814.0,-649869655159434.0
SAN LUIS,Chacabuco,El Algarrobal,0,--,--,--,SI,--,--,--,--,-327114393924943.0,-654671947070394.0
SAN LUIS,Chacabuco,El Churrasco,0,--,--,--,--,--,--,--,--,-3260479851.0,-6518870622.0
SAN LUIS,Chacabuco,El Recuerdo,0,--,--,--,--,--,--,--,--,-327089534025051.0,-650012860131932.0
SAN LUIS,Chacabuco,El Sauce,0,--,--,--,--,--,--,--,--,-3252248319.0,-6523578125.0
SAN LUIS,Chacabuco,El Sifon,0,--,--,--,--,--,--,--,--,-325851934079751.0,-652377611303891.0
SAN LUIS,Chacabuco,El Tala,0,--,--,--,--,--,--,--,--,-3293460754.0,-6515713108.0
SAN LUIS,Chacabuco,La Celestina,0,--,--,--,--,--,--,--,--,-3284352609.0,-6521504978.0
SAN LUIS,Chacabuco,Las Rosas,0,--,--,--,--,--,--,--,--,-32602006.0,-6505370603.0
SAN LUIS,Chacabuco,Naschel,3543,--,--,--,--,--,SI,SI,SI,-329168215937221.0,-653755476812695.0
SAN LUIS,Chacabuco,Papagayos,433,--,--,--,--,--,SI,--,--,-326786405437002.0,-649881795223679.0
SAN LUIS,Chacabuco,Pozo Cavado,0,--,--,--,--,--,--,--,--,-325788404639064.0,-65161517865176.0
SAN LUIS,Chacabuco,Punta De La Loma,0,--,--,--,--,--,--,--,--,-326849107237951.0,-650788264408136.0
SAN LUIS,Chacabuco,Renca,178,--,--,--,--,--,SI,--,--,-327717680736652.0,-653637605007649.0
SAN LUIS,Chacabuco,San Felipe,0,--,--,--,--,--,--,--,--,-3280964342.0,-6546121169.0
SAN LUIS,Chacabuco,San Miguel,0,--,--,--,--,--,--,--,--,-328898231742815.0,-65042421189722.0
SAN LUIS,Chacabuco,San Pablo,192,--,--,--,--,--,SI,--,--,-32658342389353.0,-653080920411456.0
SAN LUIS,Chacabuco,Santa Martina,0,--,--,--,--,--,--,--,--,-3251637957.0,-6512347967.0
SAN LUIS,Chacabuco,Tilisarao,6256,--,--,--,--,--,SI,--,SI,-327329281106581.0,-652915274383295.0
SAN LUIS,Chacabuco,Villa del Carmen,751,--,--,--,--,--,SI,SI,SI,-329411267835778.0,-650394664526979.0
SAN LUIS,Ayacucho,San Francisco del Monte de Oro,3732,--,--,--,--,--,SI,--,SI,-326006392247112.0,-661273702635842.0
SAN LUIS,Ayacucho,San Ignacio,0,--,--,--,--,--,--,--,--,-320866257032099.0,-660888231134367.0
SAN LUIS,Ayacucho,San Miguel,0,--,--,--,--,SI,--,--,--,-3214116477.0,-6581342262.0
SAN LUIS,Ayacucho,San Roque,0,--,--,--,--,--,--,--,--,-3215448797.0,-6696257853.0
SAN LUIS,Ayacucho,Santa Ana,0,--,--,--,--,--,--,--,--,-321448782188562.0,-660460393687647.0
SAN LUIS,Ayacucho,Santa Rosa De Catantal,0,--,--,--,--,--,--,--,--,-3233294095.0,-6691334013.0
SAN LUIS,Ayacucho,Santa Teresa,0,--,--,--,--,--,--,--,--,-3220206139.0,-6626698743.0
SAN LUIS,Ayacucho,Santo Domingo,0,--,--,--,--,--,--,--,--,-318973633310749.0,-656491557457839.0
SAN LUIS,Ayacucho,Talita,0,--,--,--,--,--,--,--,--,-323496514640192.0,-667266327912252.0
SAN LUIS,Belgrano,Arbol Solo,0,--,--,--,--,--,--,--,--,-3252213375.0,-6648595015.0
SAN LUIS,Belgrano,Bella Estancia,0,--,--,--,--,--,--,--,--,-328188624645794.0,-666427145357585.0
SAN LUIS,Belgrano,Buen Orden,0,--,--,--,--,--,--,--,--,-3259798771.0,-6671267133.0
SAN LUIS,Belgrano,El Barrial,0,--,--,--,--,--,--,--,--,-328288468409196.0,-663734349744985.0
SAN LUIS,Belgrano,El Milagro,0,--,--,--,--,--,--,--,--,-3310055908.0,-6636174359.0
SAN LUIS,Belgrano,El Recodo,0,--,--,--,--,--,--,--,--,-329827253369368.0,-664680980568412.0
SAN LUIS,Belgrano,Estancia De Amieva,0,--,--,--,--,--,--,--,--,-326952146.0,-6626680538.0
SAN LUIS,Belgrano,Hualtaran,0,--,--,--,--,--,--,--,--,-3246760813.0,-6696050979.0
SAN LUIS,Belgrano,La Calera,598,--,--,--,SI,--,SI,SI,--,-328619918957825.0,-668506529764617.0
SAN LUIS,Belgrano,Las Lagunitas,0,--,--,--,--,--,--,--,--,-329957785714348.0,-670904154332342.0
SAN LUIS,Belgrano,Los Molles,0,--,--,--,--,--,SI,--,--,-3310962076.0,-6628134706.0
SAN LUIS,Belgrano,Los Ramblones,0,--,--,--,--,--,--,--,--,-325115721012844.0,-664266138930999.0
SAN LUIS,Belgrano,Naranjo Esquino,0,--,--,--,--,--,--,--,--,-3302126301.0,-6685216648.0
SAN LUIS,Belgrano,Nogolí,739,--,--,--,SI,--,SI,SI,--,-329173752831041.0,-663257602058349.0
SAN LUIS,Belgrano,Pozo Cavado,0,--,--,--,--,--,--,--,--,-3255034841.0,-6623912573.0
SAN LUIS,Belgrano,Pozo Del Tala,0,--,--,--,--,--,--,--,--,-3260300671.0,-6629297728.0
SAN LUIS,Belgrano,Represa Del Carmen,0,--,--,--,--,--,--,--,--,-33061384065842.0,-669794665073681.0
SAN LUIS,Belgrano,San Antonio,0,--,--,--,--,--,--,--,--,-3264699837.0,-6689703137.0
SAN LUIS,Belgrano,San Pedro,0,--,--,--,--,--,SI,--,--,-329709634117604.0,-666970240054288.0
SAN LUIS,Belgrano,Santa Rosa Del Gigante,0,--,--,--,--,--,--,--,--,-329905965705411.0,-668140366443439.0
SAN LUIS,Belgrano,Suyuque Nuevo,0,--,--,--,--,--,--,--,--,-331293440341281.0,-662867981527892.0
SAN LUIS,Belgrano,Toro Negro,0,--,--,--,--,--,--,--,--,-32729764247677.0,-663363734621401.0
SAN LUIS,Chacabuco,Villa Larca,957,--,--,--,--,--,SI,SI,SI,-326175433008771.0,-649809087535547.0
SAN LUIS,Coronel Pringles,Balde De La Isla,0,--,--,--,--,--,--,--,--,-331207484881024.0,-659668439489068.0
SAN LUIS,Coronel Pringles,Carolina,251,--,--,--,--,--,SI,SI,--,-328128571637146.0,-660932327577628.0
SAN LUIS,Coronel Pringles,Cerros Largos,0,--,--,--,--,--,--,--,--,-3278265068.0,-6595597155.0
SAN LUIS,Coronel Pringles,Cienaga De Intihuasi,0,--,--,--,--,--,--,--,--,-3292912318.0,-6594001107.0
SAN LUIS,Coronel Pringles,El Arenal,0,--,--,--,--,--,--,--,--,-327000331013064.0,-660130171058256.0
SAN LUIS,Coronel Pringles,El Baldecito,0,--,--,--,--,--,--,--,--,-328833401170964.0,-658658654920024.0
SAN LUIS,Coronel Pringles,El Durazno,0,--,--,--,--,--,SI,--,--,-331933000679405.0,-661568981530519.0
SAN LUIS,Coronel Pringles,El Trapiche,1200,--,--,--,--,--,SI,SI,SI,-331082715280981.0,-66063371211902.0
SAN LUIS,Coronel Pringles,Eleodoro Lobos,0,--,--,--,--,--,--,--,SI,-3339105095.0,-6601520981.0
SAN LUIS,Coronel Pringles,Estancia Grande,53,--,--,--,--,--,--,--,--,-331905465526598.0,-661527985566353.0
SAN LUIS,Coronel Pringles,Fraga,1127,--,--,--,SI,--,SI,SI,SI,-33502087069887.0,-657926477789763.0
SAN LUIS,Coronel Pringles,Intihuasi,0,--,--,--,--,--,--,--,--,-328258700904104.0,-659697369177069.0
SAN LUIS,Coronel Pringles,La Bajada,91,--,--,--,--,--,SI,--,--,-33157161301266.0,-660131877714641.0
SAN LUIS,Coronel Pringles,La Florida,297,--,--,--,--,--,SI,--,--,-331167587248711.0,-660020090018267.0
SAN LUIS,Coronel Pringles,La Petra,0,--,--,--,--,--,--,--,--,-332506814309201.0,-659968368448597.0
SAN LUIS,Coronel Pringles,La Toma,7374,SI,--,--,--,--,SI,--,SI,-330544376204479.0,-6562269821015.0
SAN LUIS,Coronel Pringles,La Totora,0,--,--,--,--,--,--,--,SI,-331502423833397.0,-657245723822157.0
SAN LUIS,Coronel Pringles,Las Barranquitas,0,--,--,--,--,--,--,--,--,-3316844847.0,-6606146551.0
SAN LUIS,Coronel Pringles,Las Pircas,0,--,--,--,--,--,--,--,--,-330768050699044.0,-661099086074017.0
SAN LUIS,Coronel Pringles,Loma Alta,0,--,--,--,--,--,--,--,--,-329616958338113.0,-659538726828963.0
SAN LUIS,Coronel Pringles,Marmol Verde,0,--,--,--,--,--,--,--,--,-32944380406095.0,-658792040325979.0
SAN LUIS,Coronel Pringles,Pampa Del Tamboreo,0,--,--,--,--,--,--,--,--,-330601810256268.0,-659849396635213.0
SAN LUIS,Coronel Pringles,Paso Del Rey,0,--,--,--,--,--,--,--,--,-32944943420996.0,-660040313669643.0
