Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,4G,Latitud,Longitud
CORDOBA,Tulumba,El Tuscal,79,--,--,--,--,--,--,--,--,-297574368770199.0,-645298988550679.0
CORDOBA,Tulumba,Las Arrias,1104,SI,--,--,--,--,--,SI,SI,-303812826841011.0,-635966635615372.0
CABA,COMUNA 14,PALERMO,225970,SI,SI,SI,SI,SI,SI,SI,SI,-345738999836423.0,-584224364523189.0
ENTRE RIOS,Diamante,Aldea Valle María,2149,--,--,--,SI,--,SI,SI,SI,-319922440087904.0,-605878502274446.0
ENTRE RIOS,Diamante,Colonia Ensayo,255,--,--,--,--,--,SI,SI,--,-318672572611199.0,-605752901869571.0
ENTRE RIOS,Diamante,Costa Grande,0,--,--,--,--,--,--,--,--,-321382752741.0,-604330334152.0
ENTRE RIOS,Diamante,Diamante,19142,SI,SI,--,--,--,SI,SI,SI,-320671549441222.0,-606377365188118.0
ENTRE RIOS,Diamante,Estación Camps,171,--,--,--,--,--,SI,SI,--,-321133207438253.0,-602299017967384.0
ENTRE RIOS,Diamante,Estacion Puiggari,0,--,--,--,--,--,--,--,--,-320602299925107.0,-604435729044204.0
ENTRE RIOS,Diamante,General Alvear,438,--,--,--,--,--,SI,SI,SI,-319494541080354.0,-606779497259324.0
ENTRE RIOS,Diamante,General Racedo,514,--,--,--,--,--,SI,SI,SI,-319840164487261.0,-604083912285494.0
FORMOSA,Formosa,Formosa,222218,SI,SI,--,SI,SI,SI,SI,SI,-261828223055764.0,-581733930549121.0
FORMOSA,Formosa,Gran Guardia,916,--,--,--,--,--,SI,SI,SI,-258628496341956.0,-588859915019649.0
FORMOSA,Formosa,Mariano Boedo,373,--,--,--,--,--,SI,--,--,-261106357408727.0,-584884270518243.0
FORMOSA,Formosa,Mojón de Fierro,1131,--,--,--,--,SI,SI,--,SI,-260345119719636.0,-580499307616902.0
FORMOSA,Formosa,San Hilario,583,--,--,--,--,SI,SI,--,SI,-260248676792093.0,-586500726228772.0
FORMOSA,Formosa,Villa del Carmen,3970,--,--,--,SI,SI,SI,--,SI,-262522590977589.0,-58252552869015.0
FORMOSA,Formosa,Villa Trinidad,0,--,--,--,--,--,--,--,--,-261828223055764.0,-581733930549121.0
FORMOSA,Laishi,Banco Payaguá,374,--,--,--,--,--,SI,--,--,-267071297025561.0,-583390745827256.0
FORMOSA,Laishi,General Lucio Victorio Mansilla,2802,SI,--,--,--,SI,SI,SI,SI,-26654180225538.0,-586293214756534.0
FORMOSA,Laishi,Herradura,2660,--,--,--,--,--,SI,SI,SI,-264874646396691.0,-583122424597995.0
FORMOSA,Laishi,San Francisco de Laishi,4628,--,--,--,--,SI,SI,SI,SI,-262423010252437.0,-586300642415106.0
FORMOSA,Laishi,Tatané,1056,--,--,--,--,--,SI,--,SI,-263987186827879.0,-583575600493034.0
FORMOSA,Laishi,Villa Escolar,1290,--,--,--,--,--,SI,--,--,-266211844819298.0,-586718336940894.0
LA PAMPA,Quemú Quemú,Quemú Quemú,3714,--,--,SI,SI,SI,SI,SI,SI,-36053677480752.0,-635632432919433.0
LA PAMPA,Quemú Quemú,Relmo,120,--,--,--,--,--,--,--,--,-362573837868412.0,-634481302030919.0
