Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,La Costa,Mar de Ajó - San Bernardo,1749,4326,33,8970,891,0,0,1,15970
BUENOS AIRES,La Costa,San Clemente del Tuyú,1684,3140,5,358,0,0,0,40,5227
BUENOS AIRES,La Costa,Santa Teresita - Mar del Tuyú,3600,7654,16,191,18,0,0,201,11680
BUENOS AIRES,La Costa,Aguas Verdes,29,0,0,137,0,0,0,1,167
BUENOS AIRES,La Costa,Lucila Del Mar,153,943,0,1452,173,0,0,1,2722
BUENOS AIRES,La Matanza,20 De Junio,26,682,4,0,0,0,0,1,713
BUENOS AIRES,La Matanza,Aldo Bonzi,3,3154,0,0,1,0,0,1,3159
BUENOS AIRES,La Matanza,Ciudad Evita,351,10138,27,3175,31,0,0,99,13821
BUENOS AIRES,La Matanza,Gonzalez Catán,119,31528,27,15835,33,7,0,1502,49051
BUENOS AIRES,La Matanza,Gregorio De Laferrere,88,26889,15,19628,29,0,0,1451,48100
BUENOS AIRES,La Matanza,Isidro Casanova,191,21818,34,26985,61,0,0,253,49342
BUENOS AIRES,La Matanza,La Tablada,365,15630,2,10,7,0,0,933,16947
BUENOS AIRES,La Matanza,Lomas Del Mirador,637,12926,11,4,13,0,0,65,13656
BUENOS AIRES,La Matanza,Rafael Castillo,34,14297,10,9215,7,0,0,274,23837
BUENOS AIRES,La Matanza,Ramos Mejía,818,37021,80,7809,95,2,0,19,45844
BUENOS AIRES,La Matanza,San Justo,668,24933,101,13387,111,1,0,857,40058
BUENOS AIRES,La Matanza,Tapiales,696,3719,27,7683,14,1,0,1,12141
BUENOS AIRES,La Matanza,Villa  Eduardo Madero,194,16709,50,11900,76,0,0,168,29097
BUENOS AIRES,La Matanza,Villa Luzuriaga,170,17378,1,30,1,0,0,114,17694
BUENOS AIRES,La Matanza,Virrey Del Pino,4526,19962,0,1128,0,0,0,367,25983
BUENOS AIRES,La Plata,Abasto,376,608,0,3174,0,0,0,5,4163
BUENOS AIRES,La Plata,Angel Etcheverry,0,700,0,0,0,0,0,5,705
BUENOS AIRES,La Plata,Arturo Segui,0,183,0,0,0,0,0,0,183
BUENOS AIRES,La Plata,Barrio El Peligro,466,0,0,0,0,0,0,0,466
BUENOS AIRES,La Plata,City Bell,0,12230,0,185,0,0,0,145,12560
BUENOS AIRES,La Plata,colonia la plata,63,0,0,0,0,0,0,0,63
BUENOS AIRES,La Plata,Ignacio Correas,0,0,0,0,2,0,0,46,48
BUENOS AIRES,La Plata,Joaquin Gorina,0,876,0,125,0,0,0,0,1001
BUENOS AIRES,La Plata,Jose Hernandez,0,31,0,0,0,0,0,0,31
BUENOS AIRES,La Plata,Jose Melchor Romero,0,934,0,0,0,0,0,0,934
BUENOS AIRES,La Plata,La Cumbre,0,0,0,0,0,0,0,145,145
BUENOS AIRES,La Plata,La Plata,11819,131591,537,39467,805,9,0,3239,187467
BUENOS AIRES,La Plata,Lisandro Olmos,0,2592,0,0,0,0,0,0,2592
BUENOS AIRES,La Plata,Los Hornos,0,3567,0,254,0,0,0,145,3966
BUENOS AIRES,La Plata,Manuel B Gonnet,0,12238,0,170,0,0,0,0,12408
BUENOS AIRES,La Plata,OTROS,0,22,0,9,0,0,0,0,31
BUENOS AIRES,La Plata,Ringuelet,0,4085,0,89,0,0,0,0,4174
BUENOS AIRES,La Plata,Tolosa,0,13308,0,264,0,0,0,0,13572
BUENOS AIRES,La Plata,Villa Elisa,0,6262,0,150,0,0,0,145,6557
BUENOS AIRES,La Plata,Villa Elvira,0,4556,0,153,0,0,0,1068,5777
BUENOS AIRES,La Plata,ruta del sol,292,0,0,0,0,0,0,0,292
BUENOS AIRES,La Plata,El Retiro,0,0,0,1,0,0,0,0,1
BUENOS AIRES,La Plata,Transradio,0,0,0,0,0,1,0,0,1
BUENOS AIRES,La Plata,Arana,0,0,0,0,0,0,0,129,129
BUENOS AIRES,La Plata,Villa Garibaldi,0,0,0,0,0,0,0,904,904
BUENOS AIRES,La Plata,Villa Parque Sicardi,0,0,0,0,0,0,0,1094,1094
BUENOS AIRES,La Plata,Barrio El Carmen Oeste,0,0,0,0,0,0,0,145,145
BUENOS AIRES,La Plata,Barrio Gambier,0,0,0,0,0,0,0,145,145
BUENOS AIRES,La Plata,Villa Montoro,0,0,0,0,0,0,0,145,145
BUENOS AIRES,Lanús,Gerli,42,6313,14,5985,3,0,0,0,12357
BUENOS AIRES,Lanús,Lanús Este,551,27058,83,26487,82,1,0,115,54377
BUENOS AIRES,Lanús,Lanús Oeste,0,12264,1,14118,0,0,0,364,26747
BUENOS AIRES,Lanús,Monte Chingolo,73,10751,47,16020,71,0,0,0,26962
BUENOS AIRES,Lanús,Remedios Escalada De San Martin,65,14315,19,5137,19,0,0,344,19899
BUENOS AIRES,Lanús,Valentín Alsina,192,7292,79,12001,91,0,0,3,19658
BUENOS AIRES,Laprida,Laprida,0,22,0,2741,0,0,0,0,2763
BUENOS AIRES,Laprida,Pueblo Nuevo,0,0,0,0,0,0,0,8,8
BUENOS AIRES,Laprida,Pueblo San Jorge,0,0,0,0,0,0,0,117,117
BUENOS AIRES,Las Flores,Las Flores,2063,0,0,2286,0,0,0,809,5158
BUENOS AIRES,Las Flores,Coronel Boerr,0,0,0,0,0,0,0,3,3
BUENOS AIRES,Las Flores,El Trigo,0,0,0,1,0,0,0,3,4
BUENOS AIRES,Las Flores,Pardo,0,0,0,0,0,0,0,4,4
BUENOS AIRES,Leandro N. Alem,Alberdi Viejo,2,0,0,0,2,0,0,2,6
BUENOS AIRES,Leandro N. Alem,El Dorado,0,0,0,11,0,1,0,136,148
BUENOS AIRES,Leandro N. Alem,Fortín Acha,0,0,0,0,0,0,0,39,39
BUENOS AIRES,Leandro N. Alem,Juan Bautista Alberdi  (Est. Alberdi),252,457,0,396,0,0,0,8,1113
BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,0,201,0,0,0,0,0,55,256
BUENOS AIRES,Leandro N. Alem,Vedia,941,0,0,533,45,1,0,1201,2721
BUENOS AIRES,Lincoln,Bayauca,0,0,0,0,1,0,0,25,26
BUENOS AIRES,Lincoln,Coronel Martínez de Hoz  (Ap. Kilómetro 322),249,0,0,0,0,0,0,0,249
BUENOS AIRES,Lincoln,El Triunfo,0,0,1,10,0,0,0,0,11
BUENOS AIRES,Lincoln,Las Toscas,330,0,0,0,0,0,0,0,330
BUENOS AIRES,Lincoln,Lincoln,813,8631,39,11,1,0,0,0,9495
BUENOS AIRES,Lincoln,Pasteur,0,0,0,0,0,2,0,468,470
BUENOS AIRES,Lincoln,Roberts,0,0,1,699,0,0,0,0,700
